Date Modified,Size,ArXiv Link,Title,Authors
"Oct 22, 2024 at 2:37PM",1.2 MB,https://arxiv.org/abs/2311.00239,Gravitational Waves from Preheating in Inflation with Weyl Symmetry,"Wei-Yu Hu, Qing-Yang Wang, Yan-Qing Ma, Yong Tang"
"Oct 22, 2024 at 3:46PM",1.2 MB,https://arxiv.org/abs/2311.02065,Cosmological Gravitational Waves from Isocurvature Fluctuations,Guillem Domènech
"Oct 22, 2024 at 3:48PM",1.8 MB,https://arxiv.org/abs/2311.02161,"Parity violation in gravitational waves and observational bounds from
  third-generation detectors","Matteo Califano, Rocco D'Agostino, Daniele Vernieri"
"Oct 22, 2024 at 2:47PM",3.6 MB,https://arxiv.org/abs/2311.03434,The Gravitational Wave Spectrum of Chain Inflation,"Katherine Freese, Aliki Litsa, Martin Wolfgang Winkler"
"Oct 22, 2024 at 3:50PM",203 KB,https://arxiv.org/abs/2311.07557,Backreaction of axion-SU(2) dynamics during inflation,"Oksana Iarygina, Evangelos I. Sfakianakis, Ramkishor Sharma, Axel Brandenburg"
"Oct 22, 2024 at 3:19PM",2 MB,https://arxiv.org/abs/2311.10148,Ultra-light dark matter explanation of NANOGrav observations,"Debtosh Chowdhury, Arpan Hait, Subhendra Mohanty, Suraj Prakash"
"Oct 22, 2024 at 3:56PM",892 KB,https://arxiv.org/abs/2311.14513,"Induced gravitational waves: the effect of first order tensor
  perturbations","Raphael Picard, Karim A. Malik"
"Oct 22, 2024 at 3:33PM",867 KB,https://arxiv.org/abs/2311.16634,"Detectability of stochastic gravitational wave background from weakly
  hyperbolic encounters","Morteza Kerachian, Sajal Mukherjee, Georgios Lukes-Gerakopoulos, Sanjit Mitra"
"Oct 22, 2024 at 3:38PM",870 KB,https://arxiv.org/abs/2312.00571,"Stochastic gravitational waves produced by the first-order QCD phase
  transition","Xu Han, Guoyun Shao"
"Oct 22, 2024 at 3:58PM",1.1 MB,https://arxiv.org/abs/2312.00717,"LiteBIRD Science Goals and Forecasts. A Case Study of the Origin of
  Primordial Gravitational Waves using Large-Scale CMB Polarization","P. Campeti, E. Komatsu, C. Baccigalupi, M. Ballardini, N. Bartolo et al."
"Oct 22, 2024 at 3:59PM",645 KB,https://arxiv.org/abs/2312.01824,"NANOGrav hints for first-order confinement-deconfinement phase
  transition in different QCD-matter scenarios","Zu-Cheng Chen, Shou-Long Li, Puxun Wu, Hongwei Yu"
"Oct 22, 2024 at 4:00PM",549 KB,https://arxiv.org/abs/2312.03069,Dissecting the Stochastic Gravitational Wave Background with Astrometry,"Mesut Çalışkan, Yifan Chen, Liang Dai, Neha Anil Kumar, Isak Stomberg et al."
"Oct 22, 2024 at 4:01PM",14.2 MB,https://arxiv.org/abs/2312.03383,"Correlations for an anisotropic polarized stochastic gravitational wave
  background in pulsar timing arrays","Reginald Christian Bernardo, Guo-Chin Liu, Kin-Wang Ng"
"Oct 22, 2024 at 4:02PM",601 KB,https://arxiv.org/abs/2312.05184,"LiteBIRD Science Goals and Forecasts: A full-sky measurement of
  gravitational lensing of the CMB","A. I. Lonappan, T. Namikawa, G. Piccirilli, P. Diego-Palazuelos, M. Ruiz-Granda et al."
"Oct 22, 2024 at 4:37PM",1.9 MB,https://arxiv.org/abs/2312.10455,Gravitational waves from cosmic superstrings and gauge strings,"Danny Marfatia, Ye-Ling Zhou"
