ArXiv Link,Title,Authors
https://arxiv.org/pdf/gr-qc/9709011,,
https://arxiv.org/pdf/astro-ph/0311054,,
https://arxiv.org/pdf/gr-qc/0411129,,
https://arxiv.org/pdf/0805.3103,Limits on the speed of gravitational waves from pulsar timing,"D. Baskaran, A. G. Polnarev, M. S. Pshirkov, K. A. Postnov"
https://arxiv.org/pdf/0906.3602,"Bounding the mass of the graviton with gravitational waves: Effect of
  spin precessions in massive black hole binaries","Adamantios Stavridis, Clifford M. Will"
https://arxiv.org/pdf/1008.2561,Detecting massive gravitons using pulsar timing arrays,"Kejia Lee, Fredrick A. Jenet, Richard H. Price, Norbert Wex, Michael Kramer"
https://arxiv.org/pdf/1107.3528,"Graviton mass bounds from space-based gravitational-wave observations of
  massive black hole populations","Emanuele Berti, Jonathan Gair, Alberto Sesana"
https://arxiv.org/pdf/1304.6725,"Massive spin-2 fields on black hole spacetimes: Instability of the
  Schwarzschild and Kerr solutions and bounds on the graviton mass","Richard Brito, Vitor Cardoso, Paolo Pani"
https://arxiv.org/abs/1311.3153,"Limiting alternative theories of gravity using gravitational wave
  observations across the spectrum","Jeffrey S. Hazboun, Manuel Pichardo Marcano, Shane L. Larson"
https://arxiv.org/pdf/1505.00404,Mild bounds on bigravity from primordial gravitational waves,"Matteo Fasiello, Raquel H. Ribeiro"
https://arxiv.org/pdf/1604.06704,Massive gravitons as dark matter and gravitational waves,"Katsuki Aoki, Shinji Mukohyama"
https://arxiv.org/pdf/1605.05790,"Primordial fluctuations from inflation in dRGT bimetric theory of
  gravity","Yuki Sakakihara, Takahiro Tanaka"
https://arxiv.org/pdf/1804.01876,Astrophysical Gravitational Waves in Conformal Gravity,"Chiara Caprini, Patric Hölscher, Dominik J. Schwarz"
https://arxiv.org/pdf/1811.02533,Probing Screening and the Graviton Mass with Gravitational Waves,"Scott Perkins, Nicolas Yunes"
https://arxiv.org/pdf/2009.05405,Cosmic Acceleration and Growth of Structure in Massive Gravity,"Michael Kenna-Allison, A. Emir Gumrukcuoglu, Kazuya Koyama"
https://arxiv.org/pdf/2104.00021,"Dynamical Friction Modeling of Massive Black Holes in Cosmological
  Simulations and Effects on Merger Rate Predictions","Nianyi Chen, Yueying Ni, Michael Tremmel, Tiziana Di Matteo, Simeon Bird et al."
https://arxiv.org/pdf/2205.10863,Cosmology of Dirac-Born-Infeld dRGT massive gravity,"Sobhan Kazempour, Amin Rezaei Akbarieh, Hossein Motavalli, Lijing Shao"
https://iopscience.iop.org/article/10.1088/1475-7516/2022/03/019,,
https://www.mdpi.com/2218-1997/8/2/83,,
https://arxiv.org/pdf/2310.07469,Constraining the Graviton Mass with the NANOGrav 15-Year Data Set,"Yu-Mei Wu, Zu-Cheng Chen, Yan-Chen Bi, Qing-Guo Huang"
https://arxiv.org/pdf/2405.11790,"Graviton physics: Quantum field theory of gravitons, graviton noise and
  gravitational decoherence -- a concise tutorial","Jen-Tsung Hsiang, Hing-Tong Cho, Bei-Lok Hu"
https://arxiv.org/pdf/2404.14684,Tests of gravitational wave propagation with LIGO-Virgo catalog,"Xian-Liang Wang, Shu-Cheng Yang, Wen-Biao Han"
https://arxiv.org/pdf/2405.11790,"Graviton physics: Quantum field theory of gravitons, graviton noise and
  gravitational decoherence -- a concise tutorial","Jen-Tsung Hsiang, Hing-Tong Cho, Bei-Lok Hu"
https://arxiv.org/pdf/2409.19516,Non-Gaussian Statistics of Nanohertz Stochastic Gravitational Waves,"Xiao Xue, Zhen Pan, Liang Dai"
https://arxiv.org/pdf/2410.17915,"Cosmology of Quasi-Dilaton Massive Gravity with Non-minimal Kinetic
  Coupling","Sobhan Kazempour, Amin Rezaei Akbarieh, Sichun Sun, Chengye Yu"
https://arxiv.org/pdf/2503.06858,Testing the Starobinsky model of inflation with resonant cavities,"Subhendra Mohanty, Sukanta Panda, Archit Vidyarthi"
